#MDS*8D781FBE99150F35500431C2EBC4;(0,-91,4,00000002738B4B88)
#MDS*5D781FBEA46218;(1,-94,1,00000002739C9D4B)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-89,1,0000000274266025)
#MDS*8D781FBE58AF8113923709BC8561;(1,-94,1,0000000274AFC88F)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,0000000274E6EDD3)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-95,0,0000000274E63494)
#MDS*8D781FBE58AF8113B436FE2179A2;(0,-90,4,0000000275D4DCFE)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,0000000277C3E96D)
#MDS*5DA8304F0382BF;(1,-95,0,0000000278745B3A)
#MDS*8D781FBE58AF84A916E4002FEDC9;(1,-94,1,00000002791ED72E)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000027971999D)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-94,1,00000002797A6938)
#MDS*5D781FBEA46218;(0,-88,7,000000027A0D31C1)
#MDS*8D781FBE58AF84A93CE3F4302714;(1,-94,-4,000000027AA88805)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,000000027AC44CF5)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-90,5,000000027B31F35F)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000027C4D896F)
#MDS*5D781FBEA46218;(1,-94,-4,000000027CBC3789)
#MDS*8DAAE1EA990D5C2E28083C79FE92;(0,-91,4,000000027CFA509F)
#MDS*8D781FBE58AF84A9C0E3CC9041DA;(1,-94,1,000000027EEA66E3)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-90,3,000000027EF43512)
#MDS*5D781FBEA46218;(1,-95,0,000000027FBC7149)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-88,6,0000000280187022)
#MDS*8D781FBE58AF84A9E6E3C0F98C2F;(0,-89,6,000000028059190B)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-88,7,0000000280616CA5)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-93,2,00000002807D462B)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,0000000281741611)
#MDS*8D781FBE58AF811514369074185D;(0,-88,7,00000002818FF287)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,00000002827DD36B)
#MDS*5D781FBEA46218;(0,-87,8,0000000282FE41CE)
#MDS*5D781FBEA46218;(1,-94,1,0000000282FDC63D)
#MDS*8D781FBE58AF84AA3AE3A663A6C4;(1,-93,2,00000002833DAF73)
#MDS*8D781FBE58AF81156A3675DE0B97;(0,-88,7,00000002848797FA)
#MDS*5D781FBEA46218;(1,-94,1,0000000286087533)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000028611259E)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-92,3,0000000287643293)
#MDS*8D781FBE58AF8115EC364D19A7B8;(0,-88,7,0000000288D2E988)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,0,0000000288E44991)
#MDS*8D781FBE250D30F3E33E204CF8B8;(0,-88,7,00000002892E6387)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,00000002892DBDB7)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-95,0,000000028992E595)
#MDS*8D781FBE58AF811616363FEAD012;(1,-95,0,000000028A2DA1A0)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-91,4,000000028A89D9D4)
#MDS*8DAAE1EA58B973FC8FB7305CCD5F;(0,-91,4,000000028B1564A7)
#MDS*8D781FBE58AF8116423632758107;(0,-89,6,000000028BA613D5)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-90,5,000000028BCA1E82)
#MDS*5D781FBEA46218;(0,-90,5,000000028C2EB1C6)
#MDS*8D781FBE58AF8116643627E3284F;(0,-88,7,000000028CCA839E)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-91,4,000000028D1C59EE)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-90,5,000000028D2FCA95)
#MDS*5DA8304F8782BF;(0,-91,4,000000028E107E76)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-93,2,000000028E4AA4A5)
#MDS*5D781FBEA46218;(1,-94,1,000000028E792236)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000028E81D8B9)
#MDS*8DA8304F99085FB270083FB18D6E;(0,-92,3,000000028EAA7D1A)
#MDS*8D781FBE58AF84ABA2E336165F3A;(1,-94,1,000000028F417138)
#MDS*5DAAE1EA006CC4;(0,-92,3,000000028FA0F7B1)
#MDS*8DAAE1EA58B98796C2631F4C41C0;(0,-91,4,0000000290852933)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-92,3,0000000290C27D28)
#MDS*5D781FBEA46218;(0,-92,3,0000000291284F5B)
#MDS*5D781FBEA46218;(1,-94,1,000000029127D9DA)
#MDS*8DAAE1EA990D5C2E20043DA0F293;(1,-94,1,0000000292F34132)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,0000000293A8F22D)
#MDS*8DA8304F58C90452193E9DA03B4F;(0,-92,3,0000000293D8C0E3)
#MDS*8D781FBE58AF81175C35D929A924;(1,-94,1,00000002950DD81C)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,000000029669365E)
#MDS*8DA8304F58C90450EF3EBF222102;(0,-91,4,000000029E7E6E48)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,00000002A1516FAD)
#MDS*5D781FBEA46218;(0,-92,3,00000002A1A41918)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-89,6,00000002A2AE3468)
#MDS*8DAAE1EA58B97798B26239E0AD64;(1,-95,-1,00000002A3D5A876)
#MDS*8DAAE1EA990D5C2E00043DE58EBA;(1,-95,-1,00000002A3D4D032)
#MDS*8DA8304F58C90450573ED0C35D06;(0,-91,4,00000002A3EEFE62)
#MDS*5D781FBEA46218;(0,-91,4,00000002A4251E58)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,00000002A62F9A61)
#MDS*5DAAE1EA0E6CC4;(0,-91,4,00000002A6A25A71)
#MDS*8DAAE1EA990D5C2E00083C5220B3;(1,-95,0,00000002A6D5D7CE)
#MDS*8D781FBE99150F357004318797ED;(0,-91,4,00000002A6F8A527)
#MDS*8D781FBE58AF84AE9AE24997C2D4;(1,-94,-4,00000002A8E75453)
#MDS*5D781FBEA46218;(1,-90,5,00000002A99E4789)
#MDS*8DA8304FF8230002004AB8B847F5;(0,-91,4,00000002A9A0FB94)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,00000002A9A70AEC)
#MDS*8D781FBE99150F357004318797ED;(0,-88,2,00000002AA0B09C8)
#MDS*8DA8304F990860B290043F9CC082;(1,-94,1,00000002AA341971)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-88,7,00000002AADD8C11)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,00000002AB309FBB)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,00000002AC56279C)
#MDS*8D781FBE58AF84AF12E224C567A1;(1,-93,2,00000002ACFA9FFB)
#MDS*8DA8304F990860B290043F9CC082;(0,-91,3,00000002AD7DDFF8)
#MDS*8D781FBEE109010000000061A0A2;(1,-94,1,00000002ADF2586C)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,00000002AE038C6B)
#MDS*8D781FBE58AF811A5A34EAD182D6;(0,-92,-3,00000002AE8542CB)
#MDS*5D781FBEA46218;(1,-94,1,00000002AF606C0B)
#MDS*8D781FBE99150F357004318797ED;(0,-89,6,00000002AFA8DE7F)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-95,0,00000002B0E13280)
#MDS*8D781FBE58AF811ABA34CCF5E79D;(0,-90,5,00000002B1A0D03B)
#MDS*8D781FBE58AF84AFCCE1EA2C43A1;(1,-94,-3,00000002B332E630)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,00000002B346349D)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-91,1,00000002B4588A79)
#MDS*5D781FBEA46218;(0,-90,5,00000002B4BD0DA1)
#MDS*8D781FBE99150F357004318797ED;(0,-89,6,00000002B57D7C66)
#MDS*8DA8304F58C9044E6B3F0910A2FE;(0,-92,3,00000002B5819995)
#MDS*8D781FBE58AF84B020E1D09D5867;(0,-89,6,00000002B62BBC2F)
#MDS*5DA8304F8782BF;(0,-91,4,00000002B70699FE)
#MDS*8D781FBE99150F357004318797ED;(0,-90,4,00000002B7102740)
#MDS*5D781FBEA46218;(0,-89,6,00000002B77E076B)
#MDS*8D781FBE58AF84B04AE1C3D8DE5C;(1,-94,1,00000002B786E11D)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-87,8,00000002B7E2F877)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,00000002B850C53E)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-94,1,00000002B93EC268)
#MDS*8D781FBE58AF811BBC347B0B14C4;(0,-91,4,00000002BA51831B)
#MDS*5D781FBEA46218;(0,-92,3,00000002BADB6AC6)
#MDS*8D781FBE99150F357004318797ED;(0,-88,7,00000002BB484742)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-93,2,00000002BB6465A7)
#MDS*8D781FBE58AF84B0C0E19EBB0F90;(0,-90,5,00000002BB929116)
#MDS*8D781FBE99150F357004318797ED;(1,-89,6,00000002BE661594)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-91,4,00000002BEE60008)
#MDS*8D781FBE58AF811C8A343B6FA4A2;(1,-94,0,00000002C125BF6F)
#MDS*5D781FBEA46218;(0,-91,3,00000002C2B035AB)
#MDS*8DAAE1EAF82100020049BCDBBA41;(1,-95,0,00000002C337FCB1)
#MDS*8D781FBE99151035700431A65917;(1,-94,1,00000002C430EE4B)
#MDS*8DAAE1EA58B9879C0260B03028B0;(0,-91,4,00000002C504FDDA)
#MDS*5D781FBEA46218;(1,-94,1,00000002C54B8E40)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,00000002C5E86BC1)
#MDS*8D781FBE58AF84B20AE137004056;(0,-90,5,00000002C6A7D464)
#MDS*8D781FBE58AF811D7A33EF92E0F9;(1,-95,0,00000002C928E916)
#MDS*8D781FBE58AF84B2A2E1083F1BFA;(0,-89,6,00000002CBD7E833)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-95,0,00000002CCEA07AD)
#MDS*5D781FBE846218;(0,-91,4,00000002CDA1907E)
#MDS*8DAAE1EAEA46685F5D3F8C27F1DC;(0,-92,3,00000002CDEA9905)
#MDS*8D781FBE58AF84B2EEE0F0E7C980;(0,-90,5,00000002CE6B6E8F)
#MDS*8D781FBE58AF84B2EEE0F0E7C980;(1,-92,3,00000002CEB3D9FB)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,00000002D03E7D9A)
#MDS*5D781FBEA46218;(0,-92,2,00000002D086C9FF)
#MDS*8D781FBE58AF812024331B992231;(1,-94,1,00000002DFBA05D4)
#MDS*8D781FBE58AF84B516E0455BB660;(0,-92,3,00000002E0FAFADB)
#MDS*8D781FBE99151035700431A65917;(0,-91,3,00000002E11F2B66)
#MDS*8D781FBE58AF84B5EAE003F926E7;(0,-89,6,00000002E833429B)
#MDS*8D781FBE9915103570043059AD1E;(1,-95,0,00000002E8EB3B83)
#MDS*8D781FBE58AF84B60ADFF8DE4DFB;(0,-90,2,00000002E962550B)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-91,2,00000002E98F8C11)
#MDS*8D781FBE58AF81217232B1C13C21;(0,-89,2,00000002EAF4D48B)
#MDS*8D781FBE58AF84B668DFDBF448A0;(1,-90,5,00000002EC766D56)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,-2,00000002ED2D509E)
#MDS*5D781FBEA46218;(0,-89,5,00000002ED359F6D)
#MDS*8D781FBE99151035700431A65917;(0,-90,4,00000002ED88C9C5)
#MDS*8D781FBE58AF84B692DFCE86AA0B;(1,-95,-1,00000002EDF5BDBD)
#MDS*8D781FBE99151035700431A65917;(1,-95,0,00000002F08947F8)
#MDS*8D781FBEEA4288677F5C085C192B;(1,-94,1,00000002F0DC0CC8)
#MDS*8D781FBE58AF84B708DFA9128F9B;(1,-95,0,00000002F1F7C047)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-94,1,00000002F2DC4D8A)
#MDS*8D781FBE58AF84B73CDF99BCC7CE;(1,-94,1,00000002F39CEF8E)
